Date,Asianpaint Open,Asianpaint High,Asianpaint Low,Asianpaint Close,Asianpaint AdjClose,Asianpaint Volume,Dmart Open,Dmart High,Dmart Low,Dmart Close,Dmart AdjClose,Dmart Volume,,,,,,,,,,,,
21-06-2023,3318.699951,3333,3300,3316.100098,3278.599365,742456,3987,4028.850098,3898.050049,3919.5,3919.5,310779,,DROPDOWN  BOX,,,,,,,,Date,Asianpaint Open,Asianpaint Close
22-06-2023,3325,3326.850098,3242.449951,3248.050049,3211.318604,871640,3935,3940,3800,3812.149902,3812.149902,311631,,Asianpaint Open,,,,,,,,21-06-2023,3318.699951,3316.100098
23-06-2023,3265,3304.149902,3253.050049,3297.699951,3260.407227,1260659,3823.949951,3845,3731.899902,3744.050049,3744.050049,278868,,Asianpaint,,,,,,,,22-06-2023,3325,3248.050049
26-06-2023,3295,3315.350098,3271.399902,3308.149902,3270.73877,592801,3744.050049,3879,3744.050049,3848.25,3848.25,344384,,Asianpaint Close,,,,,,,,23-06-2023,3265,3297.699951
27-06-2023,3275,3344.5,3273.350098,3326,3288.387207,914141,3849,3919.949951,3841,3872.100098,3872.100098,499702,,,,,,,,,,26-06-2023,3295,3308.149902
28-06-2023,3331,3355.25,3323.5,3348.25,3310.385498,713110,3865,3988,3852.050049,3963.600098,3963.600098,478728,,,,,,,,,,27-06-2023,3275,3326
30-06-2023,3353,3449.600098,3343.75,3362.050049,3324.029541,1436363,3965,3966,3880,3889.199951,3889.199951,401857,,,,,,,,,,28-06-2023,3331,3348.25
03-07-2023,3365,3379.949951,3337.199951,3358.699951,3320.717529,474224,3889.199951,3948,3843,3868.600098,3868.600098,371884,,,,,,,,,,30-06-2023,3353,3362.050049
04-07-2023,3358.699951,3387,3331,3347.699951,3309.841797,473663,3929.949951,3929.949951,3844.25,3857.199951,3857.199951,554478,,,,,,,,,,03-07-2023,3365,3358.699951
05-07-2023,3351.350098,3400,3340.75,3374.399902,3336.239746,632406,3880,3897,3801.199951,3820.100098,3820.100098,311494,,,,,,,,,,04-07-2023,3358.699951,3347.699951
06-07-2023,3410,3410,3367.800049,3399.399902,3360.957031,693995,3844,3850,3810,3815.899902,3815.899902,247801,,,,,,,,,,05-07-2023,3351.350098,3374.399902
07-07-2023,3385,3414,3337.149902,3343.699951,3305.886963,620761,3818,3844,3800,3808.949951,3808.949951,206827,,,,,,,,,,06-07-2023,3410,3399.399902
10-07-2023,3345,3372.050049,3293.949951,3343.149902,3305.343262,548838,3810,3834.25,3757,3767.699951,3767.699951,180959,,,,,,,,,,07-07-2023,3385,3343.699951
11-07-2023,3349.949951,3399.949951,3345,3392.550049,3354.18457,772158,3786.949951,3838,3772.050049,3827.100098,3827.100098,175289,,,,,,,,,,10-07-2023,3345,3343.149902
12-07-2023,3408,3414.399902,3362.25,3406.75,3368.224121,1025127,3847.100098,3850,3790,3806.350098,3806.350098,362068,,,,,,,,,,11-07-2023,3349.949951,3392.550049
13-07-2023,3425,3425,3384.350098,3398.550049,3360.116699,750126,3823,3828,3795,3821.649902,3821.649902,250708,,,,,,,,,,12-07-2023,3408,3406.75
14-07-2023,3398.550049,3439,3387,3429.75,3390.963867,832843,3840.800049,3881.850098,3782,3838.75,3838.75,369703,,,,,,,,,,13-07-2023,3425,3398.550049
17-07-2023,3429.75,3473,3425,3460.399902,3421.267334,817694,3796.850098,3823.350098,3700,3713.550049,3713.550049,1045261,,,,,,,,,,14-07-2023,3398.550049,3429.75
18-07-2023,3460,3523,3455.600098,3513.449951,3473.717285,962485,3700,3711.949951,3672,3676.5,3676.5,499878,,,,,,,,,,17-07-2023,3429.75,3460.399902
19-07-2023,3520,3530,3482.5,3514.649902,3474.903564,620289,3689.949951,3720,3678.550049,3705.850098,3705.850098,277417,,,Open,2925,,,,,,18-07-2023,3460,3513.449951
20-07-2023,3510.050049,3535,3494.949951,3526,3486.125244,589848,3705.850098,3713.350098,3668.050049,3678.800049,3678.800049,503722,,,Low,2880.100098,,,,,,19-07-2023,3520,3514.649902
21-07-2023,3535.949951,3537.949951,3505,3517.699951,3477.919434,857975,3653,3692,3643.600098,3675.699951,3675.699951,369923,,,High,2928,,,,,,20-07-2023,3510.050049,3526
24-07-2023,3506,3568,3498.5,3543.699951,3503.625244,680246,3676,3680,3642.050049,3668.199951,3668.199951,197861,,,52 Week High,2792.600098,,,,,,21-07-2023,3535.949951,3517.699951
25-07-2023,3547.899902,3547.899902,3350,3400.399902,3361.945801,2555630,3668.050049,3701.75,3660.050049,3677.050049,3677.050049,237637,,,52 Week Low,2670.100098,,,,,,24-07-2023,3506,3543.699951
26-07-2023,3399.850098,3413,3365,3373,3334.855713,959076,3691.550049,3718.399902,3672.050049,3712.649902,3712.649902,182427,,,,,,,,,,25-07-2023,3547.899902,3400.399902
27-07-2023,3390,3414,3351,3369.399902,3331.296143,874078,3717.800049,3732.149902,3661.050049,3693.350098,3693.350098,286460,,,,,,,,,,26-07-2023,3399.850098,3373
28-07-2023,3375,3399,3364.5,3390.699951,3352.355469,553750,3704,3729,3674.050049,3713.899902,3713.899902,219187,,,,,,,,,,27-07-2023,3390,3369.399902
31-07-2023,3323.199951,3388,3323.149902,3377.350098,3339.156738,933890,3713.050049,3764,3703,3752.800049,3752.800049,276799,,,,,,,,,,28-07-2023,3375,3390.699951
01-08-2023,3372,3385,3338,3342.949951,3305.145508,698667,3758.949951,3768.149902,3716.199951,3740.300049,3740.300049,212462,,,,,,,,,,31-07-2023,3323.199951,3377.350098
02-08-2023,3341.199951,3371.949951,3330.649902,3362.899902,3324.869873,857218,3750,3779.899902,3690.050049,3713.399902,3713.399902,206748,,,,,,,,,,01-08-2023,3372,3342.949951
03-08-2023,3370,3379.949951,3317.949951,3336.350098,3298.620117,711067,3713.399902,3725,3675,3699.899902,3699.899902,168745,,,,,,,,,,02-08-2023,3341.199951,3362.899902
04-08-2023,3338.149902,3373.300049,3323,3339.649902,3301.882813,519248,3699.899902,3700,3640,3652.100098,3652.100098,482851,,,,,,,,,,03-08-2023,3370,3336.350098
07-08-2023,3316.050049,3350,3316,3343,3305.195068,360358,3661.899902,3671.25,3630.050049,3640.350098,3640.350098,340841,,,,,,,,,,04-08-2023,3338.149902,3339.649902
08-08-2023,3343,3359.949951,3332.649902,3348.050049,3310.187988,500258,3660,3686.699951,3635,3648.449951,3648.449951,269119,,,,,,,,,,07-08-2023,3316.050049,3343
09-08-2023,3332.550049,3356.949951,3303,3331,3293.330566,643222,3648.449951,3659.949951,3615.350098,3628.75,3628.75,257378,,,,,,,,,,08-08-2023,3343,3348.050049
10-08-2023,3310,3320,3230,3237.899902,3201.283447,1253219,3633.949951,3644.949951,3587,3598.199951,3598.199951,381556,,,,,,,,,,09-08-2023,3332.550049,3331
11-08-2023,3237.899902,3248.949951,3180,3185.350098,3149.327881,919023,3600,3607.850098,3545,3550.050049,3550.050049,740365,,,,,,,,,,10-08-2023,3310,3237.899902
14-08-2023,3185.350098,3209.899902,3152.25,3202.600098,3166.382813,815534,3567.949951,3567.949951,3500,3509.300049,3509.300049,244504,,,,,,,,,,11-08-2023,3237.899902,3185.350098
16-08-2023,3194.899902,3208.850098,3176.899902,3194.050049,3157.929443,597686,3527.949951,3527.949951,3491.25,3499.350098,3499.350098,321024,,,,,,,,,,14-08-2023,3185.350098,3202.600098
17-08-2023,3223.899902,3224,3162,3183.25,3147.251465,873392,3509.25,3552,3500,3507.649902,3507.649902,805813,,,,,,,,,,16-08-2023,3194.899902,3194.050049
18-08-2023,3174.899902,3185.5,3155,3163.550049,3127.774414,592652,3510,3594.149902,3501,3540.949951,3540.949951,570307,,,,,,,,,,17-08-2023,3223.899902,3183.25
21-08-2023,3159.899902,3187.5,3152.149902,3182.300049,3146.3125,353330,3540,3565,3522,3547.699951,3547.699951,319920,,,,,,,,,,18-08-2023,3174.899902,3163.550049
22-08-2023,3198.600098,3198.600098,3171,3179.699951,3143.741455,377068,3550,3582.949951,3530.550049,3568.899902,3568.899902,258022,,,,,,,,,,21-08-2023,3159.899902,3182.300049
23-08-2023,3186,3196,3165.25,3168.800049,3132.964844,370811,3582,3582,3531.5,3539.300049,3539.300049,341109,,,,,,,,,,22-08-2023,3198.600098,3179.699951
24-08-2023,3185,3232.899902,3170.899902,3225.600098,3189.122803,1167742,3550,3569.949951,3545,3561.5,3561.5,352847,,,,,,,,,,23-08-2023,3186,3168.800049
25-08-2023,3224.899902,3265,3216.199951,3259.300049,3222.441406,1363431,3554,3573.649902,3530.050049,3534.600098,3534.600098,254513,,,,,,,,,,24-08-2023,3185,3225.600098
28-08-2023,3264.949951,3272,3231.050049,3259.699951,3222.836914,707315,3533,3635.949951,3533,3592.899902,3592.899902,619104,,,,,,,,,,25-08-2023,3224.899902,3259.300049
29-08-2023,3261,3289,3255.050049,3285.699951,3248.542969,533163,3632,3675,3615,3664.350098,3664.350098,615528,,,,,,,,,,28-08-2023,3264.949951,3259.699951
30-08-2023,3301.300049,3302.850098,3276.399902,3294.699951,3257.440918,599080,3693.949951,3742.75,3684.550049,3736.300049,3736.300049,440057,,,,,,,,,,29-08-2023,3261,3285.699951
31-08-2023,3300.050049,3302,3220,3256.100098,3219.277832,1601967,3736.300049,3750,3680.100098,3720.399902,3720.399902,672799,,,,,,,,,,30-08-2023,3301.300049,3294.699951
01-09-2023,3241.100098,3264.199951,3217.100098,3259.550049,3222.688721,650131,3730,3765,3716,3761.050049,3761.050049,361003,,,,,,,,,,31-08-2023,3300.050049,3256.100098
04-09-2023,3259.550049,3266.25,3216.100098,3235.550049,3198.960205,696213,3771.949951,3781.949951,3739.100098,3755.75,3755.75,145378,,,,,,,,,,01-09-2023,3241.100098,3259.550049
05-09-2023,3245,3248.850098,3220,3223.300049,3186.848633,597022,3759.949951,3794.949951,3727.699951,3776.899902,3776.899902,232853,,,,,,,,,,04-09-2023,3259.550049,3235.550049
06-09-2023,3209,3230,3195,3225.300049,3188.826172,754106,3777,3810.199951,3760.5,3796.800049,3796.800049,224923,,,,,,,,,,05-09-2023,3245,3223.300049
07-09-2023,3225.300049,3253.75,3201.25,3246.350098,3209.638184,923108,3815,3856.800049,3770,3785.100098,3785.100098,443562,,,,,,,,,,06-09-2023,3209,3225.300049
08-09-2023,3250.550049,3263.050049,3232,3238.050049,3201.431885,395918,3820,3825,3776,3782.399902,3782.399902,155200,,,,,,,,,,07-09-2023,3225.300049,3246.350098
11-09-2023,3242,3265,3242,3259.399902,3222.540283,359345,3791.699951,3815,3772.399902,3810.75,3810.75,170276,,,,,,,,,,08-09-2023,3250.550049,3238.050049
12-09-2023,3260,3279.800049,3243,3256.850098,3220.019287,554905,3836,3847,3740.050049,3753.25,3753.25,289753,,,,,,,,,,11-09-2023,3242,3259.399902
13-09-2023,3245,3284.649902,3225.300049,3277.75,3240.682861,880907,3760.949951,3823.949951,3731.199951,3813.699951,3813.699951,282452,,,,,,,,,,12-09-2023,3260,3256.850098
14-09-2023,3282,3294.199951,3223.25,3240.25,3203.606934,1102554,3845,3850,3775,3808.050049,3808.050049,281679,,,,,,,,,,13-09-2023,3245,3277.75
15-09-2023,3235,3240,3185,3196.649902,3160.499756,1568607,3819.850098,3820,3770,3796,3796,252016,,,,,,,,,,14-09-2023,3282,3240.25
18-09-2023,3200,3229.899902,3190,3206.300049,3170.040771,673602,3795.800049,3810,3771.25,3797.899902,3797.899902,114208,,,,,,,,,,15-09-2023,3235,3196.649902
20-09-2023,3206.300049,3228,3195,3214.350098,3178,901084,3789.949951,3789.949951,3715.5,3729.399902,3729.399902,182671,,,,,,,,,,18-09-2023,3200,3206.300049
21-09-2023,3210,3261.199951,3180.550049,3244.199951,3207.512207,845739,3747,3775,3679,3686.949951,3686.949951,191005,,,,,,,,,,20-09-2023,3206.300049,3214.350098
22-09-2023,3234.949951,3283.600098,3221.149902,3274.850098,3237.815674,896521,3687,3717.550049,3653.949951,3689.100098,3689.100098,148096,,,,,,,,,,21-09-2023,3210,3244.199951
25-09-2023,3272.300049,3334.800049,3271.149902,3323.25,3285.668457,1422084,3700,3702.949951,3656.199951,3664.100098,3664.100098,112473,,,,,,,,,,22-09-2023,3234.949951,3274.850098
26-09-2023,3323,3324.899902,3260.350098,3292.800049,3255.562744,834560,3664.100098,3680.949951,3625,3633.600098,3633.600098,170690,,,,,,,,,,25-09-2023,3272.300049,3323.25
27-09-2023,3288,3309,3271.699951,3301.800049,3264.460938,516326,3650,3669,3625,3640.699951,3640.699951,427214,,,,,,,,,,26-09-2023,3323,3292.800049
28-09-2023,3281.800049,3289,3155,3170.350098,3134.497559,2104381,3692,3692,3651,3671.050049,3671.050049,451168,,,,,,,,,,27-09-2023,3288,3301.800049
29-09-2023,3195,3195,3134,3161.050049,3125.30249,1550585,3671.050049,3698,3651.300049,3675.600098,3675.600098,321455,,,,,,,,,,28-09-2023,3281.800049,3170.350098
03-10-2023,3166.100098,3227.800049,3162,3166.850098,3131.037109,1219145,3675.399902,3740.25,3616,3725.699951,3725.699951,235045,,,,,,,,,,29-09-2023,3195,3161.050049
04-10-2023,3164.949951,3189,3151.350098,3169.899902,3134.052246,892584,3760,3909.949951,3760,3872.949951,3872.949951,1737108,,,,,,,,,,03-10-2023,3166.100098,3166.850098
05-10-2023,3210,3232.100098,3174.300049,3206.25,3169.991455,1002610,3880,3938.399902,3842.050049,3861.5,3861.5,607632,,,,,,,,,,04-10-2023,3164.949951,3169.899902
06-10-2023,3214.75,3217,3190,3195.75,3159.610107,814257,3860,3890.800049,3786.75,3833.949951,3833.949951,345055,,,,,,,,,,05-10-2023,3210,3206.25
09-10-2023,3140.050049,3163,3132.699951,3152.800049,3117.145752,700012,3809.600098,3818,3771,3798.600098,3798.600098,278929,,,,,,,,,,06-10-2023,3214.75,3195.75
10-10-2023,3150,3164.899902,3140.050049,3151.5,3115.860596,847367,3809.949951,3829.850098,3775.550049,3793.800049,3793.800049,284836,,,,,,,,,,09-10-2023,3140.050049,3152.800049
11-10-2023,3169,3185,3152.050049,3163.899902,3128.120117,1025317,3812.5,3889,3804.300049,3852.050049,3852.050049,304828,,,,,,,,,,10-10-2023,3150,3151.5
12-10-2023,3186,3188.5,3150.050049,3159.100098,3123.374756,992531,3874.800049,3890,3820.300049,3862.75,3862.75,226262,,,,,,,,,,11-10-2023,3169,3163.899902
13-10-2023,3150,3172,3128.25,3148.800049,3113.191162,854688,3853.949951,3941,3836.050049,3935.850098,3935.850098,554574,,,,,,,,,,12-10-2023,3186,3159.100098
16-10-2023,3124,3128,3096.100098,3112.050049,3076.856689,853011,3825.050049,3873.899902,3772.75,3856.800049,3856.800049,1102582,,,,,,,,,,13-10-2023,3150,3148.800049
17-10-2023,3137,3137,3091.800049,3113.550049,3078.3396,792640,3879.149902,3885,3834.300049,3842.850098,3842.850098,394330,,,,,,,,,,16-10-2023,3124,3112.050049
18-10-2023,3110,3115.199951,3090,3096.449951,3061.432861,481985,3842.850098,3853.100098,3776.25,3795.949951,3795.949951,356321,,,,,,,,,,17-10-2023,3137,3113.550049
19-10-2023,3087.699951,3110.899902,3076.100098,3101.800049,3066.722656,568124,3790,3790,3746.850098,3766.850098,3766.850098,168075,,,,,,,,,,18-10-2023,3110,3096.449951
20-10-2023,3092.5,3115.100098,3064.550049,3105.850098,3070.726807,711434,3760.050049,3780.949951,3742.100098,3749.5,3749.5,200038,,,,,,,,,,19-10-2023,3087.699951,3101.800049
23-10-2023,3096.050049,3108.899902,3064,3072,3037.259521,374476,3750.050049,3768,3641.350098,3668.949951,3668.949951,297128,,,,,,,,,,20-10-2023,3092.5,3105.850098
25-10-2023,3093.399902,3108,3052,3060.800049,3026.186279,669290,3685,3755,3620.100098,3740.550049,3740.550049,333022,,,,,,,,,,23-10-2023,3096.050049,3072
26-10-2023,3051.100098,3055,2940,2960.300049,2926.822754,1834111,3728.050049,3731.949951,3662,3684.649902,3684.649902,289964,,,,,,,,,,25-10-2023,3093.399902,3060.800049
27-10-2023,2932.800049,2974.649902,2931,2955.149902,2921.730957,1708185,3700,3758,3651,3665.449951,3665.449951,365480,,,,,,,,,,26-10-2023,3051.100098,2960.300049
30-10-2023,2974,2991.949951,2939.100098,2967.100098,2933.546143,878885,3686.699951,3688,3624.25,3646.649902,3646.649902,254298,,,,,,,,,,27-10-2023,2932.800049,2955.149902
31-10-2023,2969,3012.75,2966,2995.699951,2961.82251,1152306,3657.649902,3671.25,3620,3633.399902,3633.399902,820386,,,,,,,,,,30-10-2023,2974,2967.100098
01-11-2023,2997.949951,3008.899902,2930,2934.550049,2901.364014,1029990,3637.5,3660.600098,3621,3639.449951,3639.449951,242467,,,,,,,,,,31-10-2023,2969,2995.699951
02-11-2023,2961.050049,2962,2934,2955.399902,2921.978027,900125,3639,3677.949951,3624.149902,3647.449951,3647.449951,216100,,,,,,,,,,01-11-2023,2997.949951,2934.550049
03-11-2023,2957,2982.899902,2942,2977.850098,2949.313965,715997,3667.600098,3667.600098,3621.25,3649.699951,3649.699951,316179,,,,,,,,,,02-11-2023,2961.050049,2955.399902
06-11-2023,2998,3034.050049,2983.850098,3029.300049,3000.270752,620959,3654.550049,3692.899902,3635.300049,3649.550049,3649.550049,277254,,,,,,,,,,03-11-2023,2957,2977.850098
07-11-2023,3029.300049,3038.949951,3002.199951,3033.350098,3004.281982,757998,3649.5,3667.949951,3636,3653.300049,3653.300049,287032,,,,,,,,,,06-11-2023,2998,3029.300049
08-11-2023,3058,3098.949951,3046.199951,3095.25,3065.588867,783400,3658,3727.949951,3658,3712.399902,3712.399902,246719,,,,,,,,,,07-11-2023,3029.300049,3033.350098
09-11-2023,3100,3111.399902,3074.050049,3080.199951,3050.682861,849702,3733.899902,3765,3725,3747.600098,3747.600098,248748,,,,,,,,,,08-11-2023,3058,3095.25
10-11-2023,3070,3085,3040.100098,3076.449951,3046.968994,364232,3750,3800,3738.550049,3798.399902,3798.399902,205429,,,,,,,,,,09-11-2023,3100,3080.199951
13-11-2023,3098,3098,3065,3085.600098,3056.03125,405941,3809.949951,3819.800049,3740.199951,3798.449951,3798.449951,166502,,,,,,,,,,10-11-2023,3070,3076.449951
15-11-2023,3085.699951,3118.850098,3078.699951,3116.199951,3086.337891,700017,3810,3814.949951,3750.100098,3791.949951,3791.949951,372291,,,,,,,,,,13-11-2023,3098,3085.600098
16-11-2023,3119,3140.899902,3097.600098,3130.300049,3100.302979,675454,3795,3800,3765,3790.25,3790.25,148945,,,,,,,,,,15-11-2023,3085.699951,3116.199951
17-11-2023,3150,3228.25,3145.649902,3168.899902,3138.532959,1430175,3794.949951,3843,3780,3810.899902,3810.899902,266479,,,,,,,,,,16-11-2023,3119,3130.300049
20-11-2023,3168.899902,3171.899902,3132,3140.350098,3110.256592,406431,3810.899902,3833,3771.699951,3792.899902,3792.899902,252998,,,,,,,,,,17-11-2023,3150,3168.899902
21-11-2023,3156.899902,3156.899902,3127,3133.25,3103.224609,409069,3796,3842,3796,3814.949951,3814.949951,196060,,,,,,,,,,20-11-2023,3168.899902,3140.350098
22-11-2023,3140,3157,3121.199951,3133,3102.977051,489889,3820,3873.850098,3812.350098,3838.25,3838.25,200608,,,,,,,,,,21-11-2023,3156.899902,3133.25
23-11-2023,3148,3171.399902,3115.149902,3122.949951,3093.023193,792460,3848,3865,3798.949951,3844.399902,3844.399902,201012,,,,,,,,,,22-11-2023,3140,3133
24-11-2023,3118,3139.800049,3111,3136.149902,3106.09668,756329,3820,3869,3799,3842.899902,3842.899902,96391,,,,,,,,,,23-11-2023,3148,3122.949951
28-11-2023,3141.149902,3160,3136.149902,3148.350098,3118.179932,647883,3815,3934,3815,3912.149902,3912.149902,449705,,,,,,,,,,24-11-2023,3118,3136.149902
29-11-2023,3148.350098,3170,3142,3148.350098,3118.179932,620725,3915,3937,3841,3861.5,3861.5,333845,,,,,,,,,,28-11-2023,3141.149902,3148.350098
30-11-2023,3148.350098,3153.949951,3108.350098,3119.899902,3090.002441,1793116,3878,3962,3834,3949.75,3949.75,698850,,,,,,,,,,29-11-2023,3148.350098,3148.350098
01-12-2023,3146.949951,3190.600098,3140.25,3173.399902,3142.989746,960196,3969.649902,3995,3931.149902,3988.399902,3988.399902,380041,,,,,,,,,,30-11-2023,3148.350098,3119.899902
04-12-2023,3190,3204.449951,3166.5,3194.550049,3163.937256,1018189,4000,4049,3950.050049,3967.100098,3967.100098,389629,,,,,,,,,,01-12-2023,3146.949951,3173.399902
05-12-2023,3197,3247.649902,3180,3226.25,3195.333496,1005550,3950,4041,3949,4039.550049,4039.550049,443420,,,,,,,,,,04-12-2023,3190,3194.550049
06-12-2023,3265,3289,3232.949951,3252.550049,3221.381348,1229158,4039.550049,4175,4039,4137.149902,4137.149902,861085,,,,,,,,,,05-12-2023,3197,3226.25
07-12-2023,3284,3299.949951,3246.850098,3251.800049,3220.638672,1071725,4140.049805,4206,4095,4115.450195,4115.450195,414582,,,,,,,,,,06-12-2023,3265,3252.550049
08-12-2023,3255,3269.800049,3227.800049,3232,3201.02832,895852,4155.950195,4170,4027.649902,4070.649902,4070.649902,495575,,,,,,,,,,07-12-2023,3284,3251.800049
11-12-2023,3230,3245,3185.5,3233,3202.018799,910426,4070.649902,4075,4025.050049,4069.75,4069.75,239939,,,,,,,,,,08-12-2023,3255,3232
12-12-2023,3228,3257.050049,3210,3224.75,3193.8479,1019030,4080.899902,4100,4038.100098,4075.399902,4075.399902,349447,,,,,,,,,,11-12-2023,3230,3233
13-12-2023,3240,3254.949951,3190.300049,3243.649902,3212.56665,1052079,4075,4075.399902,3945.100098,4033.050049,4033.050049,388573,,,,,,,,,,12-12-2023,3228,3224.75
14-12-2023,3255,3258.600098,3218,3241.350098,3210.288818,923107,4044.949951,4081,3996.050049,4070.050049,4070.050049,264682,,,,,,,,,,13-12-2023,3240,3243.649902
15-12-2023,3250,3326.350098,3242,3313.899902,3282.143311,1631687,4085,4097.899902,4017,4045.649902,4045.649902,300270,,,,,,,,,,14-12-2023,3255,3241.350098
18-12-2023,3313,3335.800049,3296,3332.050049,3300.119629,911936,4045,4079.800049,4000,4010.149902,4010.149902,221527,,,,,,,,,,15-12-2023,3250,3313.899902
